id,caseNumber,block,iucr,primaryType,description,locationDescription,arrest,domestic,beat,district,ward,communityArea,fbiCode,xCoordinate,yCoordinate,year,updatedOn,latitude,longitude,location,date
10560374,HZ307320,108XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,CTA BUS,false,false,513,5,9,50,08B,1182142,1833293,2016,06/21/2016 03:56:51 PM,41.69777395,-87.608708956,"(41.69777395, -87.608708956)",2016-06-15T07:20:00.000Z
10560370,HZ307445,052XX N BROADWAY,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,2023,20,48,77,06,1167370,1934861,2016,06/21/2016 03:56:51 PM,41.976814727,-87.659880317,"(41.976814727, -87.659880317)",2016-06-15T07:20:00.000Z
10560377,HZ307289,005XX N LOCKWOOD AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1523,15,37,25,08A,1140932,1903214,2016,06/21/2016 03:56:51 PM,41.890501338,-87.757886284,"(41.890501338, -87.757886284)",2016-06-15T07:25:00.000Z
10560375,HZ307285,005XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1532,15,28,25,14,1141938,1903046,2016,06/21/2016 03:56:51 PM,41.890021753,-87.754195887,"(41.890021753, -87.754195887)",2016-06-15T07:25:00.000Z
10562210,HZ307303,099XX S CRANDON AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",false,false,431,4,7,51,08B,1193472,1839522,2016,07/04/2016 03:55:03 PM,41.714597905,-87.567022232,"(41.714597905, -87.567022232)",2016-06-15T07:26:00.000Z
10562189,HZ307420,016XX W 111TH ST,0460,BATTERY,SIMPLE,STREET,false,false,2234,22,34,75,08B,1167546,1831111,2016,07/04/2016 03:55:03 PM,41.692110737,-87.662213946,"(41.692110737, -87.662213946)",2016-06-15T07:30:00.000Z
10560509,HZ307409,065XX S KIMBARK AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,321,3,20,42,08B,1185761,1861990,2016,06/21/2016 03:56:51 PM,41.776437246,-87.594556292,"(41.776437246, -87.594556292)",2016-06-15T07:30:00.000Z
10560471,HZ307247,012XX E 78TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,true,false,411,4,8,45,26,1185660,1853526,2016,06/21/2016 03:56:51 PM,41.753213625,-87.595192816,"(41.753213625, -87.595192816)",2016-06-15T07:30:00.000Z
10560366,HZ307352,100XX S STATE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,true,false,511,5,9,49,18,1178027,1838473,2016,06/21/2016 03:56:51 PM,41.712082606,-87.623619487,"(41.712082606, -87.623619487)",2016-06-15T07:38:00.000Z
10560450,HZ307526,004XX E PERSHING RD,0860,THEFT,RETAIL THEFT,GAS STATION,false,false,214,2,3,38,06,1179996,1879223,2016,06/21/2016 03:56:51 PM,41.82386008,-87.615162409,"(41.82386008, -87.615162409)",2016-06-15T07:40:00.000Z
10564254,HZ307545,006XX N LA SALLE DR,0820,THEFT,$500 AND UNDER,GAS STATION,false,false,1832,18,42,8,06,1175023,1904549,2016,07/04/2016 03:55:03 PM,41.893469034,-87.632648229,"(41.893469034, -87.632648229)",2016-06-15T07:44:00.000Z
10560515,HZ307354,003XX E 75TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,323,3,6,69,04B,1179532,1855351,2016,06/21/2016 03:56:51 PM,41.758363705,-87.617593755,"(41.758363705, -87.617593755)",2016-06-15T07:45:00.000Z
10560447,HZ307480,039XX S DR MARTIN LUTHER KING JR DR,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,213,2,3,38,04B,1179499,1879101,2016,06/21/2016 03:56:51 PM,41.823536688,-87.616989442,"(41.823536688, -87.616989442)",2016-06-15T07:45:00.000Z
10560321,HZ307313,007XX E 73RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,323,3,6,69,08B,1182631,1856781,2016,06/21/2016 03:56:51 PM,41.762216456,-87.606192002,"(41.762216456, -87.606192002)",2016-06-15T07:45:00.000Z
10560273,HZ307318,006XX N SPAULDING AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VACANT LOT/LAND,true,false,1121,11,27,23,18,1154260,1904156,2016,06/21/2016 03:56:51 PM,41.892830572,-87.708913968,"(41.892830572, -87.708913968)",2016-06-15T07:45:00.000Z
10560487,HZ307431,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,833,8,13,65,06,1145727,1853720,2016,06/21/2016 03:56:51 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)",2016-06-15T07:52:00.000Z
10562194,HZ308855,015XX N CENTRAL AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,2531,25,29,25,04B,1138712,1909741,2016,07/04/2016 03:55:03 PM,41.908452786,-87.765880756,"(41.908452786, -87.765880756)",2016-06-15T08:00:00.000Z
10563441,HZ310004,043XX N NARRAGANSETT AVE,0810,THEFT,OVER $500,COLLEGE/UNIVERSITY GROUNDS,false,false,1632,16,38,17,06,1132905,1928088,2016,06/23/2016 03:46:04 PM,41.958902502,-87.786783523,"(41.958902502, -87.786783523)",2016-06-15T08:00:00.000Z
10565896,HZ312679,022XX N CLARK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"",false,false,1812,18,43,7,11,1173140,1915498,2016,06/21/2016 03:56:51 PM,41.923555631,-87.639238366,"(41.923555631, -87.639238366)",2016-06-15T08:00:00.000Z
10560430,HZ307523,002XX N COLUMBUS DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,114,1,42,32,11,1178302,1901916,2016,06/21/2016 03:56:51 PM,41.886169843,-87.620686081,"(41.886169843, -87.620686081)",2016-06-15T08:00:00.000Z
10560414,HZ307365,063XX S DR MARTIN LUTHER KING JR DR,0320,ROBBERY,STRONGARM - NO WEAPON,CHA HALLWAY/STAIRWELL/ELEVATOR,false,false,312,3,20,69,03,1180014,1862897,2016,06/21/2016 03:56:51 PM,41.779059693,-87.615596501,"(41.779059693, -87.615596501)",2016-06-15T08:00:00.000Z
10560412,HZ307387,070XX S VERNON AVE,0460,BATTERY,SIMPLE,STREET,true,false,322,3,6,69,08B,1180462,1858526,2016,06/21/2016 03:56:51 PM,41.767054957,-87.614088121,"(41.767054957, -87.614088121)",2016-06-15T08:00:00.000Z
10560281,HZ307343,035XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,915,9,11,60,14,1171883,1881310,2016,06/21/2016 03:56:51 PM,41.829769239,-87.644864656,"(41.829769239, -87.644864656)",2016-06-15T08:00:00.000Z
10565470,HZ312700,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,false,false,1433,14,1,24,06,1165485,1908868,2016,06/21/2016 03:56:51 PM,41.905529073,-87.667554656,"(41.905529073, -87.667554656)",2016-06-15T08:10:00.000Z
10560558,HZ307419,067XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,725,7,15,67,08B,1165844,1859902,2016,06/21/2016 03:56:51 PM,41.771153826,-87.667629981,"(41.771153826, -87.667629981)",2016-06-15T08:10:00.000Z
10560348,HZ307366,024XX E 72ND ST,1330,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,true,false,334,3,7,43,26,1193756,1857691,2016,06/21/2016 03:56:51 PM,41.76444827,-87.565388333,"(41.76444827, -87.565388333)",2016-06-15T08:10:00.000Z
10578576,HZ327137,026XX E 75TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CURRENCY EXCHANGE,false,false,334,3,7,43,11,1195337,1855842,2016,06/30/2016 03:48:43 PM,41.759335603,-87.559654632,"(41.759335603, -87.559654632)",2016-06-15T08:12:00.000Z
10565763,HZ308769,079XX S WENTWORTH AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,623,6,17,44,03,1176311,1852426,2016,07/04/2016 03:55:03 PM,41.750410091,-87.629486066,"(41.750410091, -87.629486066)",2016-06-15T08:30:00.000Z
10561295,HZ308152,008XX E 89TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,633,6,8,44,07,1183394,1845814,2016,06/21/2016 03:56:51 PM,41.732104107,-87.60373636,"(41.732104107, -87.60373636)",2016-06-15T08:30:00.000Z
10560559,HZ307647,008XX N ASHLAND AVE,0460,BATTERY,SIMPLE,STREET,false,false,1213,12,1,24,08B,1165581,1905500,2016,06/21/2016 03:56:51 PM,41.896285,-87.667298068,"(41.896285, -87.667298068)",2016-06-15T08:30:00.000Z
